scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2030,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
central,2030,pre-construction,hydropower,known,5867.036,2951.7,4007.75,5524.5,7570.0,9217.0
central,2030,pre-construction,hydropower,unknown,6695.987,612.0,2014.25,4556.0,9112.25,15693.300000000003
central,2030,pre-construction,offshore wind,known,20971.4925,13558.3,16700.75,20756.0,24602.75,28807.1
central,2030,pre-construction,offshore wind,unknown,42051.9153,13074.600000000002,23240.6,40026.0,58867.125,72957.08
central,2030,pre-construction,onshore wind,known,27591.0848,18001.15,21357.7,27467.0,32473.925,38076.33
central,2030,pre-construction,onshore wind,unknown,122702.0756,98869.59,116210.725,126169.7,134685.375,141825.85
central,2030,pre-construction,utility-scale solar,known,13756.1728,6447.71,9095.375,14613.2,18206.55,20257.29
central,2030,pre-construction,utility-scale solar,unknown,21005.7774,461.33,3962.525,14053.05,31309.324999999997,51146.7
high,2026,announced,hydropower,known,22.94,0.0,0.0,0.0,0.0,0.0
high,2026,announced,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2026,announced,offshore wind,known,262.615,0.0,0.0,0.0,250.0,900.0
high,2026,announced,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2026,announced,onshore wind,known,937.4037,262.43,411.9,643.55,972.6,1458.95
high,2026,announced,onshore wind,unknown,0.05,0.0,0.0,0.0,0.0,0.0
high,2026,announced,utility-scale solar,known,7827.5908,5186.48,6131.2,7530.35,9314.3,10793.43
high,2026,announced,utility-scale solar,unknown,2.285,0.0,0.0,0.0,0.0,0.0
high,2026,construction,hydropower,known,5454.776,1821.7,3441.75,5177.5,7223.75,9179.2
high,2026,construction,hydropower,unknown,320.1,0.0,0.0,0.0,186.25,1006.3000000000001
high,2026,construction,offshore wind,known,10058.847,8618.8,9597.25,10418.0,10914.0,10914.0
high,2026,construction,offshore wind,unknown,15363.3285,7860.1,11013.375,14653.5,19429.75,23999.0
high,2026,construction,onshore wind,known,58202.392700000004,56359.52,57493.95,58460.1,59226.475,59723.63
high,2026,construction,onshore wind,unknown,149131.88640000002,129354.73,139396.75,151017.05,160027.65,167279.87
high,2026,construction,utility-scale solar,known,92259.9975,91538.24,92041.725,92435.15,92648.275,92787.51
high,2026,construction,utility-scale solar,unknown,275859.2709,256673.84,267635.025,277864.25,286491.0,292345.84
high,2026,pre-construction,hydropower,known,114.865,0.0,0.0,0.0,126.25,341.30000000000007
high,2026,pre-construction,hydropower,unknown,1.298,0.0,0.0,0.0,0.0,0.0
high,2026,pre-construction,offshore wind,known,862.876,28.0,332.0,711.0,1277.75,1817.4000000000005
high,2026,pre-construction,offshore wind,unknown,36.628,0.0,0.0,0.0,0.0,0.0
high,2026,pre-construction,onshore wind,known,14377.3425,8854.87,11120.300000000001,14024.1,17183.449999999997,20164.420000000002
high,2026,pre-construction,onshore wind,unknown,2443.2527,319.71000000000004,729.025,1598.6,2993.05,5508.6500000000015
high,2026,pre-construction,utility-scale solar,known,49814.452,43502.03,46173.825,49836.15,53177.725,56611.380000000005
high,2026,pre-construction,utility-scale solar,unknown,35944.935600000004,10990.550000000001,17454.5,28748.050000000003,46316.675,66618.42000000001
high,2027,announced,hydropower,known,213.628,0.0,0.0,62.0,340.0,611.1000000000003
high,2027,announced,hydropower,unknown,74.307,0.0,0.0,0.0,0.0,0.0
high,2027,announced,offshore wind,known,1772.664,250.0,547.0,1750.0,2547.0,3754.700000000001
high,2027,announced,offshore wind,unknown,317.259,0.0,0.0,0.0,0.0,0.0
high,2027,announced,onshore wind,known,7839.7805,4691.59,5772.175,7388.200000000001,9938.7,11516.17
high,2027,announced,onshore wind,unknown,4003.8306000000002,228.9,828.35,2200.0,4999.1,8901.57
high,2027,announced,utility-scale solar,known,27292.568199999998,23823.57,25338.075,27197.300000000003,29086.95,30940.37
high,2027,announced,utility-scale solar,unknown,26459.0448,6805.64,11467.05,20867.15,34485.725,52176.37
high,2027,construction,hydropower,known,14899.083,11093.5,12904.0,14871.5,16942.0,18688.1
high,2027,construction,hydropower,unknown,6777.209,2689.2000000000003,4489.5,6563.0,8922.0,10997.2
high,2027,construction,offshore wind,known,6060.848,4904.0,5828.0,5828.0,6642.75,7412.1
high,2027,construction,offshore wind,unknown,13381.3695,5151.100000000001,9485.875,14199.0,17696.5,20153.350000000002
high,2027,construction,onshore wind,known,16255.353,15192.94,15698.35,16099.15,16697.949999999997,17543.15
high,2027,construction,onshore wind,unknown,25059.3609,7636.400000000001,14314.300000000001,23094.9,34059.1,44635.62
high,2027,construction,utility-scale solar,known,44453.346399999995,44036.7,44473.2,44698.2,44773.2,44773.2
high,2027,construction,utility-scale solar,unknown,25654.601899999998,9648.74,15093.475,23659.6,33385.024999999994,44250.13
high,2027,pre-construction,hydropower,known,1115.55,395.8,635.75,1044.0,1560.25,1934.0
high,2027,pre-construction,hydropower,unknown,713.118,0.0,0.0,0.0,577.5,2220.0
high,2027,pre-construction,offshore wind,known,5351.475,2846.6,3776.75,4982.5,6779.5,8419.0
high,2027,pre-construction,offshore wind,unknown,8906.9576,0.0,603.75,3084.1,9045.775000000001,21011.8
high,2027,pre-construction,onshore wind,known,43313.44,37903.090000000004,40376.2,43365.15,46123.100000000006,48857.01
high,2027,pre-construction,onshore wind,unknown,116256.68759999999,58864.3,78811.7,106821.65,142156.15,182517.85
high,2027,pre-construction,utility-scale solar,known,77528.18909999999,70033.33,73884.825,77720.8,81362.0,84398.94
high,2027,pre-construction,utility-scale solar,unknown,588559.7209,499323.76,549934.2749999999,600079.0,641040.25,661702.33
high,2028,announced,hydropower,known,583.251,119.30000000000004,260.0,519.0,844.75,1184.1
high,2028,announced,hydropower,unknown,1536.561,0.0,0.0,129.0,2000.0,4559.500000000002
high,2028,announced,offshore wind,known,2354.91,384.0,945.75,2250.0,3450.0,4502.200000000001
high,2028,announced,offshore wind,unknown,7470.940799999999,0.0,0.0,1277.5,5918.5,17576.700000000004
high,2028,announced,onshore wind,known,14117.6008,10220.26,11761.675,13776.900000000001,16288.05,18144.35
high,2028,announced,onshore wind,unknown,42641.2495,17045.66,24392.65,37868.65,53872.875,76417.96
high,2028,announced,utility-scale solar,known,35626.6294,26892.39,30131.975,34578.3,40676.05,45420.14
high,2028,announced,utility-scale solar,unknown,189233.1395,126341.93,155262.07499999998,189557.35,223134.65000000002,254519.11000000002
high,2028,construction,hydropower,known,10226.954,6941.1,8428.25,10013.0,11825.5,14152.900000000001
high,2028,construction,hydropower,unknown,6478.753,3217.7,4974.75,6587.0,8240.75,9539.6
high,2028,construction,offshore wind,known,415.08,0.0,0.0,0.0,448.0,1372.0
high,2028,construction,offshore wind,unknown,221.96,0.0,0.0,0.0,0.0,962.200000000001
high,2028,construction,onshore wind,known,7077.275900000001,6728.3,6732.2,7028.3,7396.3,7894.200000000001
high,2028,construction,onshore wind,unknown,12.248899999999999,0.0,0.0,0.0,0.0,0.0
high,2028,construction,utility-scale solar,known,16397.1436,16335.5,16435.5,16435.5,16435.5,16435.5
high,2028,construction,utility-scale solar,unknown,0.035,0.0,0.0,0.0,0.0,0.0
high,2028,pre-construction,hydropower,known,3537.749,1959.8,2607.25,3320.0,4166.5,5321.200000000001
