scenario,year,status,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
high,2028,pre-construction,onshore wind,273339.356,239663.99999999997,261158.32499999998,278069.7,289439.25,300242.83999999997
high,2028,pre-construction,utility-scale solar,222463.3781,122920.43000000001,163341.3,217949.15,274973.65,330615.58
high,2029,announced,hydropower,7299.841,1037.6000000000001,2361.25,5401.5,9948.25,16014.800000000001
high,2029,announced,offshore wind,35614.7164,5464.1,11166.25,22605.5,47465.75,85453.90000000001
high,2029,announced,onshore wind,101445.3737,67521.47,82056.57499999998,99368.45000000001,118784.57500000001,137500.21000000002
high,2029,announced,utility-scale solar,196626.425,151327.39,176076.575,200246.9,221911.3,238184.93
high,2029,construction,hydropower,9398.184,5104.9,7150.25,9517.5,11447.25,13436.1
high,2029,construction,offshore wind,0.0,0.0,0.0,0.0,0.0,0.0
high,2029,construction,onshore wind,3054.6688000000004,2399.6,2871.225,3243.8,3243.8,3276.3
high,2029,construction,utility-scale solar,2826.549,2848.0,2848.0,2848.0,2848.0,2848.0
high,2029,pre-construction,hydropower,25680.402,11179.0,16580.5,24555.0,33571.25,41319.100000000006
high,2029,pre-construction,offshore wind,103195.57359999999,66320.99,88925.75,108368.7,121121.1,130980.52
high,2029,pre-construction,onshore wind,148886.68709999998,97076.33,123677.37500000001,150272.0,177366.725,197918.76
high,2029,pre-construction,utility-scale solar,28294.7932,19491.41,23308.225,28039.699999999997,31737.5,36265.12
high,2030,announced,hydropower,12487.432,3881.4,7486.25,11484.0,16801.5,21375.800000000007
high,2030,announced,offshore wind,65094.668,19674.1,34806.899999999994,62906.6,91695.25,114350.72
high,2030,announced,onshore wind,93109.1473,66828.26000000001,76838.45,90400.85,107818.9,123375.67000000001
high,2030,announced,utility-scale solar,64873.3652,32800.18,42476.6,59754.55,81800.84999999999,104157.40000000001
high,2030,construction,hydropower,5985.281,3178.2,4257.75,5871.0,7347.5,8683.8
high,2030,construction,offshore wind,181.2,200.0,200.0,200.0,200.0,200.0
high,2030,construction,onshore wind,1359.7966000000001,1303.2,1303.2,1303.2,1303.2,2147.4
high,2030,construction,utility-scale solar,6208.267,6054.0,6254.0,6254.0,6254.0,6254.0
high,2030,pre-construction,hydropower,30852.479,20073.0,25271.0,30754.0,36735.75,41526.700000000004
high,2030,pre-construction,offshore wind,83380.49290000001,45055.57,67082.525,88417.3,100744.55,110682.24
high,2030,pre-construction,onshore wind,49932.0111,26503.57,34814.75,46772.600000000006,62202.75,78449.34
high,2030,pre-construction,utility-scale solar,9593.9671,4375.09,5914.775,8228.0,13374.975,17103.840000000004
low,2026,announced,hydropower,2.59,0.0,0.0,0.0,0.0,0.0
low,2026,announced,offshore wind,24.488,0.0,0.0,0.0,0.0,0.0
low,2026,announced,onshore wind,126.55080000000001,0.0,0.0,43.0,142.0,291.1
low,2026,announced,utility-scale solar,1335.2711000000002,442.06,731.375,1152.0500000000002,1735.8000000000002,2509.6000000000004
low,2026,construction,hydropower,1067.401,0.0,109.0,472.0,1803.5,2924.1000000000013
low,2026,construction,offshore wind,6436.479,3163.6,4442.0,6012.5,7883.5,10198.7
low,2026,construction,onshore wind,69367.4158,54488.62,60668.3,68007.85,76355.70000000001,85392.39000000001
low,2026,construction,utility-scale solar,147528.5798,121436.02,132178.05,144718.40000000002,161269.15,175875.67
