sep=;
state;date;variable;generation_gwh
India Total;2020-07-01;Bioenergy;443.06
India Total;2020-07-01;Clean;34554.31
India Total;2020-07-01;Coal;80575.48
India Total;2020-07-01;Fossil;85447.27
India Total;2020-07-01;Gas;4860.63
India Total;2020-07-01;Hydro;19002.05
India Total;2020-07-01;Nuclear;3358.52
India Total;2020-07-01;Other Fossil;11.16
India Total;2020-07-01;Other Renewables;144.24
India Total;2020-07-01;Renewables;31195.79
India Total;2020-07-01;Solar;4639.49
India Total;2020-07-01;Wind;6966.95
India Total;2020-07-01;Wind and solar;11606.44
India Total;2020-08-01;Bioenergy;426.03
India Total;2020-08-01;Clean;38304.91
India Total;2020-08-01;Coal;74687.06
India Total;2020-08-01;Fossil;79033.7
India Total;2020-08-01;Gas;4335.48
India Total;2020-08-01;Hydro;20224.66
India Total;2020-08-01;Nuclear;3590.73
India Total;2020-08-01;Other Fossil;11.16
India Total;2020-08-01;Other Renewables;153.24
India Total;2020-08-01;Renewables;34714.18
India Total;2020-08-01;Solar;4264.75
India Total;2020-08-01;Wind;9645.5
India Total;2020-08-01;Wind and solar;13910.25
India Total;2020-09-01;Bioenergy;453.01
India Total;2020-09-01;Clean;34145.68
India Total;2020-09-01;Coal;81583.85
India Total;2020-09-01;Fossil;85987.73
India Total;2020-09-01;Gas;4393.48
India Total;2020-09-01;Hydro;20267.43
India Total;2020-09-01;Nuclear;3881.96
India Total;2020-09-01;Other Fossil;10.4
India Total;2020-09-01;Other Renewables;140.44
India Total;2020-09-01;Renewables;30263.72
India Total;2020-09-01;Solar;4550.71
India Total;2020-09-01;Wind;4852.13
India Total;2020-09-01;Wind and solar;9402.84
India Total;2020-10-01;Bioenergy;558.98
India Total;2020-10-01;Clean;27899.19
India Total;2020-10-01;Coal;84889.02
India Total;2020-10-01;Fossil;89655.52
India Total;2020-10-01;Gas;4760.75
India Total;2020-10-01;Hydro;14343.77
India Total;2020-10-01;Nuclear;3969.13
India Total;2020-10-01;Other Fossil;5.75
India Total;2020-10-01;Other Renewables;161.37
India Total;2020-10-01;Renewables;23930.06
India Total;2020-10-01;Solar;4876.01
India Total;2020-10-01;Wind;3989.93
India Total;2020-10-01;Wind and solar;8865.94
India Total;2020-11-01;Bioenergy;1741.35
India Total;2020-11-01;Clean;22904.92
India Total;2020-11-01;Coal;78714.7
India Total;2020-11-01;Fossil;82535.46
India Total;2020-11-01;Gas;3799.87
India Total;2020-11-01;Hydro;9273.35
India Total;2020-11-01;Nuclear;3830.99
India Total;2020-11-01;Other Fossil;20.89
India Total;2020-11-01;Other Renewables;161.69
India Total;2020-11-01;Renewables;19073.93
India Total;2020-11-01;Solar;4592.33
India Total;2020-11-01;Wind;3305.21
India Total;2020-11-01;Wind and solar;7897.54
India Total;2020-12-01;Bioenergy;2310.6
India Total;2020-12-01;Clean;23794.09
India Total;2020-12-01;Coal;87910.39
India Total;2020-12-01;Fossil;91411.03
India Total;2020-12-01;Gas;3492.53
India Total;2020-12-01;Hydro;8857.22
India Total;2020-12-01;Nuclear;3894.84
India Total;2020-12-01;Other Fossil;8.11
India Total;2020-12-01;Other Renewables;167.18
India Total;2020-12-01;Renewables;19899.25
India Total;2020-12-01;Solar;4748.53
India Total;2020-12-01;Wind;3815.72
India Total;2020-12-01;Wind and solar;8564.25
India Total;2021-01-01;Bioenergy;2344.03
India Total;2021-01-01;Clean;22688.36
India Total;2021-01-01;Coal;94164.84
India Total;2021-01-01;Fossil;97191.82
India Total;2021-01-01;Gas;3016.2
India Total;2021-01-01;Hydro;8537.61
India Total;2021-01-01;Nuclear;3214.5
India Total;2021-01-01;Other Fossil;10.78
India Total;2021-01-01;Other Renewables;164.5
India Total;2021-01-01;Renewables;19473.86
India Total;2021-01-01;Solar;4865.41
India Total;2021-01-01;Wind;3562.31
India Total;2021-01-01;Wind and solar;8427.72
India Total;2021-02-01;Bioenergy;2116.77
India Total;2021-02-01;Clean;21071.28
India Total;2021-02-01;Coal;88161.89
India Total;2021-02-01;Fossil;91299.26
India Total;2021-02-01;Gas;3130.36
India Total;2021-02-01;Hydro;7781.43
India Total;2021-02-01;Nuclear;2704.82
India Total;2021-02-01;Other Fossil;7.01
India Total;2021-02-01;Other Renewables;159.64
India Total;2021-02-01;Renewables;18366.46
India Total;2021-02-01;Solar;5435.79
India Total;2021-02-01;Wind;2872.83
India Total;2021-02-01;Wind and solar;8308.62
India Total;2021-03-01;Bioenergy;1857.02
India Total;2021-03-01;Clean;24305.3
India Total;2021-03-01;Coal;103108.39
India Total;2021-03-01;Fossil;107105.05
India Total;2021-03-01;Gas;3988.37
India Total;2021-03-01;Hydro;8825.42
India Total;2021-03-01;Nuclear;3161.24
India Total;2021-03-01;Other Fossil;8.29
India Total;2021-03-01;Other Renewables;175.51
India Total;2021-03-01;Renewables;21144.06
India Total;2021-03-01;Solar;6754.24
India Total;2021-03-01;Wind;3531.87
India Total;2021-03-01;Wind and solar;10286.11
India Total;2021-04-01;Bioenergy;1172.97
India Total;2021-04-01;Clean;23278.21
India Total;2021-04-01;Coal;99963.45
India Total;2021-04-01;Fossil;103697.4
India Total;2021-04-01;Gas;3727.03
India Total;2021-04-01;Hydro;8705.61
India Total;2021-04-01;Nuclear;3363.72
India Total;2021-04-01;Other Fossil;6.92
India Total;2021-04-01;Other Renewables;179.34
India Total;2021-04-01;Renewables;19914.49
India Total;2021-04-01;Solar;6122.19
India Total;2021-04-01;Wind;3734.38
India Total;2021-04-01;Wind and solar;9856.57
India Total;2021-05-01;Bioenergy;706.08
India Total;2021-05-01;Clean;30267.87
India Total;2021-05-01;Coal;84046.88
India Total;2021-05-01;Fossil;87506.63
India Total;2021-05-01;Gas;3453
India Total;2021-05-01;Hydro;12306.75
India Total;2021-05-01;Nuclear;4000.16
India Total;2021-05-01;Other Fossil;6.75
India Total;2021-05-01;Other Renewables;176.69
India Total;2021-05-01;Renewables;26267.71
India Total;2021-05-01;Solar;5994.67
India Total;2021-05-01;Wind;7083.52
India Total;2021-05-01;Wind and solar;13078.19
India Total;2021-06-01;Bioenergy;468.95
India Total;2021-06-01;Clean;36990.71
India Total;2021-06-01;Coal;82006.65
India Total;2021-06-01;Fossil;85437.74
India Total;2021-06-01;Gas;3424.5
India Total;2021-06-01;Hydro;16733.85
India Total;2021-06-01;Nuclear;3892.12
India Total;2021-06-01;Other Fossil;6.59
India Total;2021-06-01;Other Renewables;164.11
India Total;2021-06-01;Renewables;33098.59
India Total;2021-06-01;Solar;6006.23
India Total;2021-06-01;Wind;9725.45
India Total;2021-06-01;Wind and solar;15731.68
India Total;2021-07-01;Bioenergy;994.87
India Total;2021-07-01;Clean;41327.26
India Total;2021-07-01;Coal;89044.62
India Total;2021-07-01;Fossil;92426.67
India Total;2021-07-01;Gas;3374.39
India Total;2021-07-01;Hydro;19967.36
India Total;2021-07-01;Nuclear;3613.17
India Total;2021-07-01;Other Fossil;7.66
India Total;2021-07-01;Other Renewables;160.52
India Total;2021-07-01;Renewables;37714.09
India Total;2021-07-01;Solar;5170.06
India Total;2021-07-01;Wind;11421.28
India Total;2021-07-01;Wind and solar;16591.34
India Total;2021-08-01;Bioenergy;452.03
India Total;2021-08-01;Clean;40316.03
India Total;2021-08-01;Coal;92489.65
India Total;2021-08-01;Fossil;96231.95
India Total;2021-08-01;Gas;3735.19
India Total;2021-08-01;Hydro;21746.01
India Total;2021-08-01;Nuclear;3139.89
India Total;2021-08-01;Other Fossil;7.11
India Total;2021-08-01;Other Renewables;179.67
India Total;2021-08-01;Renewables;37176.14
India Total;2021-08-01;Solar;5449.51
India Total;2021-08-01;Wind;9348.92
India Total;2021-08-01;Wind and solar;14798.43
India Total;2021-09-01;Bioenergy;391.41
India Total;2021-09-01;Clean;36151.1
India Total;2021-09-01;Coal;81990.75
India Total;2021-09-01;Fossil;85318.96
India Total;2021-09-01;Gas;3321.13
India Total;2021-09-01;Hydro;19290.4
India Total;2021-09-01;Nuclear;3896.95
India Total;2021-09-01;Other Fossil;7.08
India Total;2021-09-01;Other Renewables;181.98
India Total;2021-09-01;Renewables;32254.15
India Total;2021-09-01;Solar;5409.09
India Total;2021-09-01;Wind;6981.27
India Total;2021-09-01;Wind and solar;12390.36
India Total;2021-10-01;Bioenergy;571.59
India Total;2021-10-01;Clean;31201.31
India Total;2021-10-01;Coal;86461.29
India Total;2021-10-01;Fossil;90105.68
India Total;2021-10-01;Gas;3629.3
India Total;2021-10-01;Hydro;16809.85
India Total;2021-10-01;Nuclear;4417.41
India Total;2021-10-01;Other Fossil;15.09
India Total;2021-10-01;Other Renewables;198.64
India Total;2021-10-01;Renewables;26783.9
India Total;2021-10-01;Solar;6225.9
India Total;2021-10-01;Wind;2977.92
India Total;2021-10-01;Wind and solar;9203.82
India Total;2021-11-01;Bioenergy;1776.28
India Total;2021-11-01;Clean;24926.66
India Total;2021-11-01;Coal;80393.58
India Total;2021-11-01;Fossil;82708.87
India Total;2021-11-01;Gas;2305.75
India Total;2021-11-01;Hydro;10584.84
India Total;2021-11-01;Nuclear;4062.63
India Total;2021-11-01;Other Fossil;9.54
India Total;2021-11-01;Other Renewables;210.64
India Total;2021-11-01;Renewables;20864.03
India Total;2021-11-01;Solar;5014.77
India Total;2021-11-01;Wind;3277.5
India Total;2021-11-01;Wind and solar;8292.27
India Total;2021-12-01;Bioenergy;2479.8
India Total;2021-12-01;Clean;25271.92
India Total;2021-12-01;Coal;91012.72
India Total;2021-12-01;Fossil;93295.51
India Total;2021-12-01;Gas;2274.68
India Total;2021-12-01;Hydro;8696.22
India Total;2021-12-01;Nuclear;4451.32
India Total;2021-12-01;Other Fossil;8.11
India Total;2021-12-01;Other Renewables;209.54
India Total;2021-12-01;Renewables;20820.6
India Total;2021-12-01;Solar;5858.03
India Total;2021-12-01;Wind;3577.01
India Total;2021-12-01;Wind and solar;9435.04
