Parameter,State,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Oil & Gas - Generation (in MU),Tamil Nadu,215.3,259,241.86,243.97,250.3,244.89,178.91,186.65,191.6,185.5,207.66,266.16,296.6,227.01,206.24,222.91,180.88,189.01,250.16,261.59,241.92,241.21,214.81,220.02,224.96,168.06,247.67,248.86,250.83,241.61,246.88,238.38,212.96,236.26,212.54,239.16,253.25,218.14,219.21,248.67,256.52,212.75,242.95,242.42,236.61,290.2,234.76,248.57,246.13,234.33,198.07,166.07,240.61,245.16,239.49,250.26,267.15,258.63,271.26,252.83,275.1,299.35,223.68,193.87,178.68,201.21,214.2,195.99,136.44,132.56,105.53,108.12,128.2,118.63,142.96,129.16,149.85,152.35,161.43,153.9,147.99,153.38,134.84,159.54,214.73,134.9,162.22,172.68,156.39,147.21,169.21,115,105.41,149.15,158.84,176.21,168.77,167.31,162.86,177.5,171.27,164.72,161.87,97.96,145.69,169.3,165.07,166.3,154.48,152.51,149.32,137.39,144.55,131.22,137.63,145.42,143.23,133.98,108.32,77.72,109.7,114.82,109.6,112.95,73.38,77.85,119.76
Nuclear - Generation (in MU),Tamil Nadu,981.64,727.32,607.3,306.89,302.31,241.93,288.07,224.24,163.77,228.04,468.61,931.64,920.74,1001.14,993.61,1035.3,1052.41,853.06,980.43,794.7,240.64,306.79,406.16,1101.65,838.77,498.62,873.41,1043.49,427.09,912.89,822.49,1125.69,1474.6,1610.9,1267.03,799.3,820.98,852.22,872.51,1031.17,194.45,326.58,561.13,661.83,563.91,563.75,595.7,589.31,546.48,884.19,1207.65,1357.86,1363.12,1325.49,1245.72,1312.39,1010.64,795.2,690.42,1247.17,1218.54,1023.39,886.71,649.41,975.51,1562.88,1624.59,1357.72,1490.84,1263.75,797.82,813.56,903.78,1401.53,1186.91,894.23,758.63,1315.67,1588.64,1411.2,1654.42,1575.16,1440.23,1494.86,865.16,852.66,1516.15,1393.96,883.13,983.68,1618.67,1557.5,1655.13,1531.79,1465.73,1689.01,1234.28,1005.65,881.75,943.54,1238.75,1430,1603,1625.43,1487.93,1605.17,847.79,907.93,1214.66,1208.17,898.41,1440.93,1676.74,1580.82,1527.49,1624.65,1675.85,1638.93,1349.12,1657.62,1608.55,1687.68,1578.19,1667.47,931.4,732.09,1289.01
Hydro - Generation (in MU),Tamil Nadu,343.84,262.12,283.5,390.33,429.38,472.05,366.15,308.23,429.66,435.25,352.14,401.62,374.27,222.12,126.87,230.53,184.3,220.07,378.03,173.57,139.31,100.58,104.48,142.99,163.1,77.16,70.29,102.38,197.7,310.02,472.5,379.08,411.51,319.5,192.3,224.07,257.32,229.03,316.24,541.02,846.55,715.2,661.56,392.36,469.13,359.43,246.64,246.73,180.26,173.68,124.72,166.01,536.47,718.96,662.35,562.85,540.44,513.08,291.15,295.28,248.46,276.84,305.53,444.8,694.3,604.21,604.54,559.61,506.27,374.59,312.75,280.81,223.32,199.12,430.84,524.03,579.35,501.16,476.37,551.86,541.47,454.89,366.21,363.43,241.15,242.19,393.79,683.29,741.36,721.55,580.07,582.92,487.48,619.36,312.97,257.75,245.95,231.43,279.72,363.26,435.5,390.79,388.63,220.01,305.69,276.74,241.66,183.9,171.01,103.21,171.81,523.68,608.53,609.4,490.65,515.77,473.29,470.13,242.9,222.35,186.44,257.26,633.29,820.01,815.56,651.67,615.34
Solar - Generation (in MU),Tamil Nadu,18.38,17.18,18.5,19.46,21.98,21.25,35.34,34.99,42.02,57.11,71.65,149.31,130.04,130.42,111.87,123.15,143.48,146.34,187,152.68,168.17,184.74,196.87,223.6,233.17,238.43,228.34,200,205.78,231.6,237.13,208.42,202.01,274.13,328,319,254.04,268.37,312,272.75,281.18,316.03,259.06,258.88,301.66,326.8,322.43,381.32,400.11,367.71,386.05,374.75,409.2,396.85,398.71,322.09,374.78,439.66,482.24,594.48,516.29,520.17,512.3,506.61,536.89,455.7,539.9,444.85,403.76,437.49,586.65,654.88,591.63,581.75,609.73,607.24,613.1,645.21,542.54,400.7,596.74,596.74,623.6,763.9,701.01,730.91,728.6,731.17,760.95,839.18,754.99,663.18,719.09,876.68,911,1002.66,970.18,922.32,969.11,973.37,1129.24,1007.69,971.2,774.15,751.15,935.73,1090.68,1242.66,1291.09,1163.64,1220.11,1241.93,1365.78,1468.38,1283.71,1007.56,1165.04,1223.51,1705.46,1603.08,1571.11,1557.84,1590.65,1608.26,1666.14,1665.81,1216.89
Wind - Generation (in MU),Tamil Nadu,207.33,128.28,736.08,1696.95,1696.95,1378.84,903.02,-,-,-,262.63,263.16,237.77,242.24,1328.16,2000.97,2021.62,2124.71,2023.08,639.26,210.25,325.47,480.85,300.89,231.57,531.41,1462.2,2384.77,2340.54,1620.17,1510.27,715.14,267.25,428.49,433.15,433.05,391.28,332.54,1250.72,2603.54,3260.38,2370.59,890.35,286.92,272.05,373.64,336.2,232.63,390.61,1638.33,2555.63,2615.04,2568.06,1570.67,276.5,348.11,597.59,572.88,682.14,311.36,305.56,1128.6,2500.27,2047.8,2500.79,2127.03,1747.69,339.65,478.42,516.37,489.92,382.83,546.22,1507.05,2497.08,2851.49,2767.95,2197.2,907.25,449.19,492.82,518.09,457.38,629.46,360.39,2374.45,2743.61,2818.68,2552.87,2346.68,923.09,237.39,619.82,726.61,558.75,651.51,378.8,1131.09,3049.38,3666.7,2427.66,2712.23,636.12,425.7,749.8,622.57,777.03,331.01,439.28,1343.56,2331.19,3787,2061.77,3099.7,677.58,489.83,725.19,1073.76,822.96,474.84,630.46,2530,3940.46,4807.61,3460.74,3443.56,1196.34
Small-Hydro - Generation (in MU),Tamil Nadu,3.85,2.85,6.09,27.17,36.19,19.92,14.16,9.74,34.83,29.42,21.42,8.39,8.49,1.98,2.81,19.07,21.77,17.37,9.65,3.66,3.86,1.15,1.57,2.43,0.85,0.85,2.55,13.99,13.86,12.88,25.88,30.68,35.79,22.09,22.09,4.63,5.56,1.99,10.13,42.61,51.26,97.3,36.03,19.91,19.98,20.58,35.64,6.98,4.67,1.49,1.16,7.44,27.47,41,28.41,32.25,33.83,29.06,29.06,11.2,7.72,5.24,2.1,8.63,39.24,27.53,26.78,30.95,35.08,33.59,16.19,11.72,7.32,10.77,27.89,35.6,31.73,26.47,31.32,38.23,28.27,28.27,16.85,10.45,8.02,5.52,12.52,36.6,36.6,33.27,30.51,33.96,34.27,37.46,16.98,11,8.28,3.75,5.6,11.24,23.77,22.69,20.81,18.02,28.04,23.04,24.03,16.73,3.71,2.32,6.29,35.38,38.85,29.21,26.18,28.79,23.49,34.01,16.43,11.95,8.53,4.26,26.18,51.43,53.81,32.56,-
Bio Power - Generation (in MU),Tamil Nadu,173.16,143.06,141.21,84.05,102.47,87.22,85.06,83.04,39.54,75.05,140.17,183,151.69,135.32,93.66,103.36,121.97,176.08,126.36,35.42,44.16,77.34,72.33,88.79,81.56,60.56,62.25,65.35,55.05,45.43,63.3,76.82,65.02,43.49,62.87,48.03,71.1,21.8,12.01,10.96,15.23,15.85,29.58,24.01,37.67,42.36,59.6,55,48.81,61.04,41.4,42,49.69,34.9,34,30.68,21.13,29.85,42.49,18.6,9.81,48.3,75.42,54.82,87.63,62.81,33.07,16.69,53.44,29.85,103.5,111,74.4,48.24,19.94,41.27,70.9,59.62,36.71,47.48,65.36,65.36,118.72,126.04,86.34,63.09,35.5,85.61,90.07,72.3,51.96,52.94,100.69,95.52,120.46,142.04,87.11,76.54,40.89,47.16,66.54,53.31,39.3,44.22,63.94,61.93,81.14,89.7,65.15,38.54,28.28,45.06,37.69,35.3,32.38,18.13,32.32,46.97,46.97,58.09,17.78,17.02,13.33,7.53,3.76,8.93,-
Total,Tamil Nadu,7733.02,6933.71,7124.63,7755.03,7560.05,7358.24,7211.4,5304.15,5691.38,6848.72,7429.17,8712.59,8961.81,8243.18,7651.88,8679.48,8744.82,8842.99,9906.42,8348.15,6906.67,7460.87,7039.62,8953.64,8416.03,7937.48,7598.65,8904.05,8225.85,8383.08,8426.34,7900.75,7751.13,8154.91,7627.29,9069.23,8826.5,8356.79,7852.02,9356.85,9374.96,9677.46,8790.56,7283.73,7898.29,7643.41,7487.05,8129.01,7862.02,9135.89,9956.03,9688.4,9455.15,8759,7913.85,7880.12,7505.74,8140.72,8373.54,8602.76,6366.42,8255.34,8953.81,7833.53,8464.68,7922.88,8226.7,6788.89,6684.97,7100.57,7034.16,8056.84,8454.05,8670.29,9925.96,10203.31,10406.05,9586.92,8490.74,6627.91,8522.79,8563.66,7992.05,8637.61,8595.37,10454.3,11507.95,11106.46,10370.93,10170.16,9036.28,8193.13,8801.87,9007.33,8872,10470.4,10093.32,9523.82,11598.3,11529.69,10910.69,11405.53,10236.37,8880.61,8932.98,9975.41,9907.37,10317.57,10515.3,11042.84,10850.59,13208.21,11830.5,13033.53,10543.53,9245.91,9211.41,9973.75,10178.31,10491.04,9753.5,10921.98,13519.46,14223.45,12188.58,12126.09,9479.18
Coal - Generation (in MU),Gujarat,8033.29,8076.59,7112.73,6540.15,6383.49,7962.13,8670.98,6828.51,6371.86,7122.61,7043.45,7235.47,7170.97,7462.11,6886.4,6395.12,6581.18,7852.71,7545.48,6382.77,6903.07,7552.27,7127.56,7528.17,7612.96,6927.27,5863.49,5514.04,6902.74,7600.35,7600.7,7145.14,7025.44,7169.09,6097.38,5580.6,5012.02,5494.11,5572.17,5785.58,7252.88,7266.33,7833.49,6498.52,7844.74,8147.68,7137.89,7906.47,7876.22,8610.22,7016.11,6376.54,6480.3,6108.64,7172.7,6922.29,7244.32,7796.89,7340.69,5645.68,4274.01,5060.73,5637.51,5968.16,4848.61,6965.98,7876.51,7190.56,8047.97,7542.1,6982.03,6664.62,6446.51,4382.88,4091.41,4566.15,4195.3,2359.56,3465.28,3363.04,4365.9,4242.77,3309.07,4780.56,6296.26,5432.73,5732.78,3628.9,3497.23,4276.08,3989.54,4260.87,4716.18,4112.53,3671.9,3707.93,5288.43,5976.16,5118.64,5364.88,6531.22,6923.22,8232.23,6086.62,6339.24,7441.43,6582.67,6712.69,8143.42,8362.01,8292.57,7295.29,6152.21,4797.18,7565.29,6500.57,6769.95,7078.45,6854.53,7204.11,7366.01,7606.8,6477.88,5248.7,4880.32,4225.95,2949.31
Oil & Gas - Generation (in MU),Gujarat,678.95,601.06,1096.09,1191.86,1131.59,1261.77,1530.66,916.22,1043.92,850.44,757.33,1496.09,1167.05,1049.61,989.31,727.12,613.83,813.5,1035.9,1017.65,821.31,657.22,651.04,873.38,1046.29,1313.5,1204.49,1145.3,1135.09,1455.95,1578.1,1154.38,1006.94,864.7,866.03,1153.23,1469.33,1599.11,1087.38,969.61,929.57,1246.07,1653.12,709.27,829.22,767.93,628.98,907.14,1294.74,1211.52,1045.6,1161.33,915.55,1441.81,1375.59,1105.26,823.16,626.84,955.81,1558.21,2224.82,2252.1,2147.53,2138.39,1515.19,1792.25,2187.91,1400.86,961.87,510.53,662.74,1083.03,1120.49,959.98,855.42,826.51,1101.25,696.39,844.76,212.77,217.06,207.41,137.27,174.54,259.48,251.65,333.21,171.62,69.44,38.38,59.47,237.4,147.64,93.27,187.29,309.84,731.33,807.37,884.18,397.2,1071.88,880.77,987.41,155.66,290.02,516.69,565.24,897.31,1426.19,2002.92,1697.14,540.4,622.53,773.88,608.09,61.36,117.35,82.62,173.62,305.6,918.96,855.17,831.59,660,565.36,756.59,208.11
Nuclear - Generation (in MU),Gujarat,168.41,206.52,302.61,167.82,165.24,158.23,164.9,146.45,169.52,169.46,153.63,55.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.86,162.14,154.92,167.04,168.86,152.01,168.1,161.39,179.17,311.83,322.85,324.52,313.86,301.78,256.18,303.42,317.6,305.31,330.69,309.94,325.5,311.98,274.58,304.02,308.89,324.42,307.3,266.81,339.98,304.8,334.73,160.75,219.75,297.85,322.58,293.17,228.53,332.6,324,339.22,341.06,308.08,335.88,320.92,330.08,288.92,334.02,332.88,319.29,259.13,204.8,288.11,337.44,304.44,319.88,316.7,320.14,178.86,693.39,764.86,803.87,844.7,800.32,840.69,617.14,675.81,720.38,984.38,856.85,1023.52,931.82,1308.86,1034.83,756.7,761.46,1251.64,1266.48,1136.69,988.32,1198.53,1223.84,717.5,695.44,701.32,1004.82,1268.09
Hydro - Generation (in MU),Gujarat,197.85,292.73,187.8,258.35,970.94,267.35,163.79,163.79,125.74,97.4,122.94,103.17,79.93,85.56,149.54,478.53,1079.09,596.27,643.81,210.79,138.23,119.85,207.58,154.7,193.97,166.43,294.27,85.96,97.4,129.22,125.53,152.28,129.25,74.31,77.01,26.09,44.72,39.98,18.4,35.6,43.46,139.81,163.85,104.67,166.8,121.75,90.8,72.97,49.3,56.94,32.3,45.36,942.24,1334.17,822.27,441.12,467.63,397.81,528.25,297.28,253.6,189.59,489.26,200.04,299.46,1099.41,299.82,168.03,296.13,295.41,323.02,319.57,253.02,287.22,549.18,85.77,87.56,155.7,296.22,212.48,195.37,161.4,174.06,163.52,174.04,165.34,191.57,497.82,1300.18,1275.33,1019.05,282.45,260.25,258.45,417.21,291.45,154.53,112.23,116.02,441.47,1004.62,769.4,609.01,256.76,253.05,312.93,304.61,221.7,188.76,255.6,436.11,308.08,1065.37,1251.19,966.65,289.53,379.33,218.3,368.07,301.53,197.85,187.16,428.14,576.16,1182.29,1380.78,869.7
Solar - Generation (in MU),Gujarat,152.45,160.88,125.86,95.12,103.89,130.37,149.79,127.39,138.69,-,143.23,169.93,170.97,165.63,138.71,103.35,95.03,140.88,147.39,147.56,151.17,148.96,152.19,176.44,186.25,186.8,153.78,90.24,131.04,169.35,192.54,167.67,161.68,195.43,182.95,230.67,220.5,216.23,173.97,126.27,120.47,169.68,200.4,199.86,208.49,233.43,236.82,304.2,308.85,323.61,264.17,285.85,227.26,205.55,285.67,275.84,328.26,356.69,366.42,403.69,405.77,439.5,341.17,328.54,250.53,303.51,355.86,374.32,408.32,456.31,438.28,531.71,524.22,570.46,529.38,471.44,475.77,381.07,569.86,575.19,594.8,653.29,668.61,760.42,841.65,925.93,838.77,633.18,648.12,775.12,890.54,821.67,835.69,1005.16,1052.57,1066.91,1147.51,1428.45,907.11,779.54,924.51,1005.11,1221.38,1020.28,1065.84,1226.22,1210.11,1532.85,1574.4,1752.88,1470.71,1185.52,1235.26,1490.92,1614.24,1632.4,1448.86,1822.79,1745.9,3245.6,2371.73,1995.33,1559.77,1488.69,1644.06,1695.42,2427.55
Wind - Generation (in MU),Gujarat,514.68,738.01,646.86,1196.89,720.14,329.98,258,427.14,493.84,276.8,418.26,425.98,500.28,992.25,1025.54,1040.7,908.5,631.18,255.02,258.66,388.53,578.07,550.71,590.57,947.7,1241.83,1127.79,1499.18,1102.77,411.31,396.33,521.64,888.64,483.08,452.23,695.29,746.8,1197.34,1682.24,1702.37,1523.42,829.61,307.78,394.27,792.86,787.11,762.52,800.73,1031.56,1369.72,1487.12,2142.29,1234.27,589.26,578.45,812.02,1384.15,1093.84,959.47,1066.38,1087.46,1794.98,1030.61,1219.11,1641.71,550.36,600.47,1074.57,1100.66,1215.92,742.23,1000.05,1079.2,1934.75,2137.71,2769.6,1946.93,1106.05,712.19,1066.48,1456.49,1269.26,1000.47,1375.64,1644.49,2843.95,2188.45,2216.97,1629.11,1157.07,959.35,712.15,1591.32,2119.95,975.78,1167.62,1478.24,3649.99,2571.69,2118.65,3804.74,1974.44,900.72,1277.67,2028.39,1455.35,1745.66,1788.94,1932.36,3042.17,2773.46,2878.04,3157.93,1548.55,877.91,856.92,2587.37,1969.03,1619.19,2197.98,2682.69,3508.01,4721.9,4350.88,3708.62,2388.66,2243.55
Small-Hydro - Generation (in MU),Gujarat,3.56,2.07,0.48,2.44,2.35,3.72,4.13,5.31,4.26,-,3.95,4,2.01,-,-,-,4,-,4.05,4.36,4.69,1.15,3.36,3.92,4.41,1.82,0.6,3.86,5.79,4.39,3.44,4.98,3.27,1.62,3.91,4.84,5.16,4.1,3.39,7.57,9.3,10.83,8.18,4.5,7.68,6.73,5.95,12.8,7.89,2.66,9,14.34,19.85,24.56,23.25,17.26,19.17,17.67,17.67,21.75,16.24,8.9,11.9,14.92,15.3,20.54,23.87,19.85,22.6,18.61,18.87,20.35,14.29,9.15,5.91,15.02,15.16,11.37,16.89,18.63,19.79,22.1,20.51,23.29,15.12,12.37,8.16,8.16,21.79,24.03,21.56,16.23,17.33,20.35,24.42,23.57,19.68,15.79,15.39,7.76,17.99,18.37,15.67,15.61,18.86,21.39,23.28,27.9,20.1,15.25,13.78,12.97,13.68,12.94,10.18,12.05,18.13,24.62,25.62,26.68,10.88,11.41,11.64,7.79,18.86,18.35,-
Bio Power - Generation (in MU),Gujarat,2.97,1.73,1.55,1.67,2.65,3.38,2.36,2.22,1.81,-,1.79,1.15,0.23,0.06,-,0.02,0.02,-,1.1,2.08,2.23,2.42,1.92,2.08,2.69,1.96,1.64,0.77,1.88,2.49,3.42,3.33,3.11,3.54,3.61,4.21,6.1,6.84,6.41,5.88,4.76,4.15,7.27,5.45,5.36,5.5,7.81,14.84,21.45,8.64,16.46,8.14,5.06,3.76,6.86,9.26,14.51,16.61,15.23,15.76,15.66,8.73,13.46,14.38,3.89,-,0.72,4.57,3.63,16.61,3.1,1.2,1.78,0.26,-,-,-,-,1.79,3.49,4.76,3.11,2.11,0.87,4.31,0.79,-,-,-,-,0.03,-,-,2.87,-,-,-,-,-,-,-,-,-,0.74,-,1.39,-,-,-,2.52,2.13,1.58,2.49,2.12,7.02,10.55,15.08,21.59,21.87,20.67,9.65,7.97,2.32,8.36,8.52,8.12,-
Total,Gujarat,9752.16,10079.59,9473.98,9454.3,9480.29,10116.93,10944.61,8617.03,8349.64,8516.71,8644.58,9491.17,9091.44,9755.22,9189.5,8744.84,9281.65,10034.54,9632.75,8023.87,8409.23,9059.94,8694.36,9329.26,9994.27,9839.61,8646.06,8339.35,9376.71,9773.06,9900.06,9149.42,9218.33,8791.77,7683.12,7694.93,7504.63,8557.71,8543.96,8632.88,9883.86,9693.34,10336.23,8071.46,10022.19,10238.99,9022.78,10187.25,10751.4,11762.48,10182.59,10356.7,10149.05,10021.61,10566.57,9839.23,10584.62,10623.95,10488.85,9339.44,8587.5,10080.03,9983.42,10158.12,8878.71,11040.94,11669.58,10540.06,11107.99,10395.47,9475.07,9955.26,9600.26,8364.45,8466.86,9057.07,8115.14,4938.67,6239.59,5776.08,7193.39,6900.4,5620.18,7614.72,9556.27,9962.84,9581.86,7490.67,7498.75,7865.3,7198.67,6535.57,7856.52,7950.02,6633.61,6887.2,9136.42,12310.13,9791.89,9802.89,14119.82,12375.18,12811.12,9613.66,10836.09,11592.54,11107.38,11901.77,14269.61,16290.2,15709.42,13153.7,13558.33,10911.61,12406.08,10124.84,12587.71,12483.88,11945.49,14290.49,14756.3,15395.69,14750.74,13036.02,12709.35,11478.69,9966.31
Oil & Gas - Generation (in MU),Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hydro - Generation (in MU),Sikkim,205.17,329.71,375.27,514.15,494.35,484.56,348.14,224.36,159.3,128.97,116.68,171.26,281.42,363.08,462.19,540.2,524.43,560.04,508.93,244.06,163.57,131.38,210.5,340.81,464.24,821.74,1071.09,1274.9,1158,1254.7,1081.57,550.43,385.69,271.81,231.73,319.67,451.72,873.02,1195.79,1275.77,1224.91,1245.32,968.4,521.72,355.17,273.78,245.31,390.95,731.9,1249.25,1414.79,1622.55,1506.65,1593.12,1127.18,529.81,359.65,298.4,250.03,344.03,569.84,1068.84,1584.34,1615.48,1590.71,1499.68,1162.39,540.89,380.4,303.56,228.71,334.67,503.89,1019.46,1454.76,1729.48,1767.07,1642.68,1229.89,700.11,426.52,306.8,243.12,470.13,872.89,1025.3,1564.09,1722.73,1693.25,1654.1,1350.56,582.92,393.02,279.66,226.14,332.13,545.25,916.27,1414.28,1782.97,1794.35,1505.92,352.3,110.27,70.75,47.16,29.67,40.67,74.21,86.57,229.66,349.59,340.8,286.24,273.8,129.17,88.42,61.42,44.72,66.35,96.2,215.99,285.28,406.71,445.14,405.34,282.44
Solar - Generation (in MU),Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small-Hydro - Generation (in MU),Sikkim,1.58,4.06,3.9,4.15,5.96,6.07,5.34,3.48,2.48,1.85,1.37,1.69,1.58,3.06,3.09,3.76,4.81,4.36,-,3.48,2.44,2,1.5,0.89,2.45,3.35,3.61,4.09,3.51,3.67,3.64,1.63,1.2,1.39,1.11,0.89,2.14,4.68,0.93,0.79,0.73,6.14,3.64,3.29,2.3,1.41,1.01,1.04,2.32,3.9,5.34,6.2,6.63,5.81,6.92,6.92,6.92,6.92,6.92,1.5,2.14,3.72,5.8,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,3.7,1.03,1.03,14.86,23.15,23.71,23.13,23.71,12.28,5.37,1.76,5.35,8.83,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,-
Bio Power - Generation (in MU),Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134.16,132.52,137.38,136.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oil & Gas - Generation (in MU),Tripura,343.42,329.01,353.45,489.48,435.14,431.01,414.49,493.94,405.09,481.52,432.31,500.52,363.03,491.09,475.92,492.37,517.05,483.25,533.33,504.29,443.38,464.31,528.54,577.33,507.85,548.4,502.76,544.82,378.11,427.41,532.6,523.77,511.51,524.52,476.25,521.27,504.69,522.76,484.42,555.79,508.39,477.74,599.07,605.13,615.95,592.13,538.86,625.91,564.36,637.56,617.92,632.39,534.24,508.53,512.94,448.3,457.76,460.09,348.43,370.42,588.46,619.18,556.84,568,595.17,590.13,590.83,575.62,580.39,645.8,588.7,544.09,284.2,434.39,438.34,491.2,602.32,591.2,610.49,577.45,579.19,588.33,520.57,614.59,585.13,555.06,416.72,577,625.42,607.38,609.36,604.23,626.39,636.98,603.56,632.25,607.03,588.43,455.09,535.9,589.99,559.05,559.28,529.89,521.06,497.17,445.21,465.21,430.28,437.9,415.67,408.63,423.51,413.11,432.75,406.31,444.79,430.6,407.74,448.36,427.69,439.69,414.07,395.01,423.65,424.6,435.56
Hydro - Generation (in MU),Tripura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Solar - Generation (in MU),Tripura,0.49,0.55,0.42,0.35,0.44,0.57,0.57,0.63,0.38,0.54,0.51,0.59,0.56,0.5,0.58,0.39,0.43,0.58,0.64,0.64,0.64,0.69,0.62,0.62,0.54,0.63,0.49,0.43,0.49,0.49,0.61,0.67,0.59,0.57,0.55,0.66,0.6,0.6,0.5,0.55,0.57,0.54,0.56,0.68,0.56,0.69,0.6,0.69,0.61,0.67,0.54,0.51,-,-,0.02,0.01,0.02,0.01,0.52,0.52,0.47,0.78,0.32,0.49,0.5,0.49,0.34,0.49,0.61,0.54,0.47,0.53,0.52,0.57,0.57,0.37,0.34,0.51,0.46,0.57,0.57,0.57,0.57,0.57,0.59,0.53,0.37,0.54,0.56,0.51,0.64,0.64,0.55,0.54,0.54,0.54,0.54,0.54,0.4,0.49,0.28,0.28,0.51,0.05,0.49,0.4,0.53,0.58,0.56,0.51,0.41,0.5,0.4,0.44,0.52,0.52,0.52,0.49,0.49,0.61,0.58,3.22,0.39,0.44,0.48,0.55,0.21
Small-Hydro - Generation (in MU),Tripura,-,-,0.5,1.31,0.2,0.14,2.98,3.22,2.98,3.41,2.61,1.13,1.5,3.43,2.7,3.07,3.7,3.02,4.46,7.46,7.5,3.2,3.01,3.42,2.92,3.39,3.86,3.94,3.74,3.85,3.3,3.31,3.93,4.33,3.9,4.01,4.34,3.98,2.89,2.93,4.03,3.68,2.85,2.62,3.2,5.77,3.9,2.79,2.69,2.41,0.85,0.85,1.5,1.77,1.61,2.72,2.72,2.72,2.72,2.11,1.94,-,-,-,-,-,-,1.54,1.54,1.67,1.44,1.44,1.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
