Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Total,Dadra and Nagar Haveli and Daman and Diu,2.43,2.63,2.98,2.68,2.74,2.29,1.36,2.11,2.27,2.35,2.35,2.56,2.56,2.68,2.68,2.68,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74
Coal - Generation (in MU),Delhi,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Delhi,375.69,278.36,209.99,291.19,753.11,759.2,476.12,374.65,252.58,306.41,111.18,30.15,98.49,234.83,190.1,365.99,352.07,445.69,371.23,246.28,163.37,49.09,95.83,127.27
Nuclear - Generation (in MU),Delhi,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Delhi,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Delhi,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,49.13942183023612,51.023622275224405,56.222030001383246,63.73151801873133,65.86765464966149,64.96558692883522,64.17967771947873,65.73462480857577,74.114201823104,72.11968887702159,73.27934332686559,76.15326480151893
Wind - Generation (in MU),Delhi,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Delhi,,,,,,,,,,,,,,,,,,,,,,,,
Bio Power - Generation (in MU),Delhi,46.43,46.43,47.36,46.83,56.77,43.43,42.94,46.08,46.1,46.1,47.75,42.05,38.61,42.38,43.37,41.41,46.91,41.5,46.87,45.45,39.48,39.48,39.48,33.94
Coal - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Goa,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,10.410146624623625,10.718264117478434,11.762785330001886,13.131949002983092,13.211318750983834,13.054331294313334,12.871025861290544,13.126362793026265,14.46124551743981,14.366853892284716,14.383820168956076,14.93554410547099
Wind - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Goa,,,,,,,,,,,,,,,,,,,,,,,,
Bio Power - Generation (in MU),Goa,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
Coal - Generation (in MU),Gujarat,7441.43,6582.67,6712.69,8143.42,8362.01,8292.57,7295.29,6152.21,4797.18,7565.29,6500.57,6769.95,7078.45,6854.53,7204.11,7366.01,7606.8,6477.88,5248.7,4880.32,4225.95,2953.14,3453.42,4959.03
Oil & Gas - Generation (in MU),Gujarat,516.69,565.24,897.31,1426.19,2002.92,1697.14,540.4,622.53,773.88,608.09,61.36,117.35,82.62,173.62,305.6,918.96,855.17,831.59,660.0,565.36,756.59,209.07,198.28,316.0
Nuclear - Generation (in MU),Gujarat,617.14,675.81,720.38,984.38,856.85,1023.52,931.82,1308.86,1034.83,756.7,761.46,1251.64,1266.48,1136.69,988.32,1198.53,1223.84,717.5,695.44,701.32,1004.82,1271.61,1247.47,1289.9
Hydro - Generation (in MU),Gujarat,312.93,304.61,221.7,188.76,255.6,436.11,308.08,1065.37,1251.19,966.65,289.53,379.33,218.3,368.07,301.53,197.85,187.16,428.14,576.16,1182.29,1380.78,870.98,422.74,388.43
Solar - Generation (in MU),Gujarat,1226.22,1210.11,1532.85,1574.4,1752.88,1470.71,1185.52,1235.26,1490.92,1614.24,1632.4,1448.86,2370.573818289503,2318.05932674054,3913.907842845214,3197.08029871912,2850.744637636156,2389.218835687873,2312.031067623764,2492.2085844916946,2690.8149500281183,2826.031147536607,3015.895453326936,3218.363784169368
Wind - Generation (in MU),Gujarat,1455.35,1745.66,1788.94,1932.36,3042.17,2773.46,2878.04,3157.93,1548.55,877.91,856.92,2587.37,1969.03,1619.19,2197.98,2682.69,3508.01,4721.9,4350.88,3708.62,2388.66,2224.11,1422.47,1590.9
Small-Hydro - Generation (in MU),Gujarat,21.39,23.28,27.9,20.1,15.25,13.78,12.97,13.68,12.94,10.18,12.05,18.13,24.62,25.62,26.68,10.88,11.41,11.64,7.79,18.86,18.35,15.86,16.22,20.4
Bio Power - Generation (in MU),Gujarat,1.39,,,,2.52,2.13,1.58,2.49,2.12,7.02,10.55,15.08,21.59,21.87,20.67,9.65,7.97,2.32,8.36,8.52,8.12,8.23,17.22,24.05
